Company,Email,Tag,Region,Note
Darwinbox,hr@darwinbox.com,HRTech,India,Mid-size
GreytHR,hr@greythr.com,HRTech,India,Mid-size
Classplus,hr@classplus.co,EdTech,India,Startup
Teachmint,hr@teachmint.com,EdTech,India,Startup
Lido Learning,hr@lidolearning.com,EdTech,India,Startup
Toppr,hr@toppr.com,EdTech,India,Mid-size
Doubtnut,hr@doubtnut.com,EdTech,India,Startup
Unacademy,hr@unacademy.com,EdTech,India,Large
Eruditus,hr@eruditus.com,EdTech,India,Mid-size
UpGrad,hr@upgrad.com,EdTech,India,Mid-size
Simplilearn,hr@simplilearn.com,EdTech,India,Mid-size
Great Learning,hr@greatlearning.in,EdTech,India,Mid-size
LogiNext,hr@loginextsolutions.com,Logistics / SaaS,India,Startup
FarEye,hr@fareye.com,Logistics / SaaS,India,Startup
Locus,hr@locus.sh,Logistics / SaaS,India,Startup
ElasticRun,hr@elastic.run,Logistics,India,Startup
Zetwerk,hr@zetwerk.com,Manufacturing / B2B,India,Mid-size
Infra.Market,hr@infra.market,Manufacturing / B2B,India,Mid-size
OfBusiness,hr@ofbusiness.com,B2B / FinTech,India,Mid-size
Moglix,hr@moglix.com,B2B / E-commerce,India,Mid-size
Udaan,hr@udaan.com,B2B / E-commerce,India,Large
Ninjacart,hr@ninjacart.com,B2B / AgTech,India,Mid-size
Jumbotail,hr@jumbotail.com,B2B / E-commerce,India,Startup
ShopX,hr@shopx.in,B2B / E-commerce,India,Startup
Bira 91,hr@bira91.com,F&B,India,Mid-size
Rebel Foods,hr@rebelfoods.com,Cloud Kitchen,India,Mid-size
Curefoods,hr@curefoods.in,Cloud Kitchen,India,Startup
Eatsure,hr@eatsure.com,Cloud Kitchen,India,Mid-size
FreshMenu,hr@freshmenu.com,Cloud Kitchen,India,Startup
Box8,hr@box8.in,Cloud Kitchen,India,Startup
Fassos,hr@faasos.com,Cloud Kitchen,India,Mid-size
Chai Point,hr@chaipoint.com,F&B,India,Mid-size
Chaayos,hr@chaayos.com,F&B,India,Mid-size
Third Wave Coffee,hr@thirdwavecoffee.in,F&B,India,Startup
Blue Tokai Coffee,hr@bluetokaicoffee.com,F&B,India,Startup
Smytten,hr@smytten.com,E-commerce,India,Startup
Purplle,hr@purplle.com,E-commerce,India,Mid-size
Nykaa,hr@nykaa.com,E-commerce,India,Large
MyGlamm,hr@myglamm.com,E-commerce,India,Mid-size
Good Glamm Group,hr@goodglamm.com,E-commerce,India,Mid-size
Clovia,hr@clovia.com,E-commerce,India,Mid-size
Zivame,hr@zivame.com,E-commerce,India,Mid-size
Lenskart,hr@lenskart.com,E-commerce,India,Large
Peyush Bansal Group,hr@peyushbansal.com,E-commerce,India,Mid-size
CarDekho,hr@cardekho.com,AutoTech,India,Mid-size
Cars24,hr@cars24.com,AutoTech,India,Large
Spinny,hr@spinny.com,AutoTech,India,Mid-size
Droom,hr@droom.in,AutoTech,India,Mid-size
CarTrade,hr@cartrade.com,AutoTech,India,Mid-size
Trell,hr@trell.co,Social / Media,India,Startup
Roposo,hr@roposo.com,Social / Media,India,Startup
Chingari,hr@chingari.io,Social / Media,India,Startup
Mitron,hr@mitron.tv,Social / Media,India,Startup
Pratilipi,hr@pratilipi.com,Social / Media,India,Startup
Kuku FM,hr@kukufm.com,Media / Audio,India,Startup
Pocket FM,hr@pocketfm.com,Media / Audio,India,Startup
YourStory,hr@yourstory.com,Media,India,Startup
Inc42,hr@inc42.com,Media,India,Startup
Inshorts,hr@inshorts.com,Media,India,Mid-size
Dailyhunt,hr@dailyhunt.in,Media,India,Mid-size
NewsDog,hr@newsdog.today,Media,India,Startup
